=== Part A: band-consistent alternating branches, n=2, R<= 100.0 ===
  inf R=   2.402 D=   16.941799 band=True r=1.232007 a_scaled=-6.132e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   2.317 D=   17.705207 band=True r=1.239819 a_scaled=-6.342e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   2.233 D=   18.532835 band=True r=1.248163 a_scaled=-6.569e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   2.148 D=   19.432788 band=True r=1.257096 a_scaled=-6.813e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   2.064 D=   20.414561 band=True r=1.266681 a_scaled=-7.077e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   1.979 D=   21.489348 band=True r=1.276993 a_scaled=-7.363e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   1.895 D=   22.670439 band=True r=1.288121 a_scaled=-7.675e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   1.810 D=   23.973720 band=True r=1.300164 a_scaled=-8.016e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   1.726 D=   25.418334 band=True r=1.313243 a_scaled=-8.391e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   1.641 D=   27.027551 band=True r=1.327499 a_scaled=-8.805e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   1.557 D=   28.829925 band=True r=1.343101 a_scaled=-9.263e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   1.472 D=   30.860859 band=True r=1.360250 a_scaled=-9.775e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   1.388 D=   33.164767 band=True r=1.379195 a_scaled=-1.035e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   1.303 D=   35.798087 band=True r=1.400238 a_scaled=-1.100e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   1.219 D=   38.833586 band=True r=1.423756 a_scaled=-1.174e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   1.134 D=   42.366639 band=True r=1.450222 a_scaled=-1.259e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   1.050 D=   46.524612 band=True r=1.480245 a_scaled=-1.359e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf: violations (r<=1 or a>=0): 0
