=== Part A: band-consistent alternating branches, n=3, R<= 30.0 ===
  inf R=   2.148 D=   23.242355 band=True r=1.116636 a_scaled=-9.943e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   2.064 D=   24.660317 band=True r=1.123821 a_scaled=-1.035e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   1.979 D=   26.223263 band=True r=1.131711 a_scaled=-1.080e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   1.895 D=   27.952712 band=True r=1.140402 a_scaled=-1.129e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   1.810 D=   29.874483 band=True r=1.150009 a_scaled=-1.182e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   1.726 D=   32.019808 band=True r=1.160669 a_scaled=-1.240e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   1.641 D=   34.426788 band=True r=1.172544 a_scaled=-1.305e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   1.557 D=   37.142351 band=True r=1.185831 a_scaled=-1.376e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   1.472 D=   40.224904 band=True r=1.200770 a_scaled=-1.456e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   1.388 D=   43.747993 band=True r=1.217655 a_scaled=-1.546e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   1.303 D=   47.805431 band=True r=1.236853 a_scaled=-1.648e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   1.219 D=   52.518632 band=True r=1.258822 a_scaled=-1.764e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   1.134 D=   58.047341 band=True r=1.284147 a_scaled=-1.897e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   1.050 D=   64.605696 band=True r=1.313584 a_scaled=-2.054e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf: violations (r<=1 or a>=0): 0
